SampleID ,Date ,DateTime,Time,days,Temperature,SpC,Salinity,TDS,pH ,Eh,Turbidity ,pCO2,logpCO2,Al,Ba,Ca,Fe,K,Mg,Na,P,S,Se,Si,Sr,Zn,As,Cr,Mn,Ni,Ti,Cl,NO3,SO4,DIC,DOC,d13C,d13CStDev,SIcalcite,SIdolomite,hydroxyapatite
Ayers HR 2001,10/2/2020,10/2/2020 17:50,17:50,0.74,16.85,197.4,0.09,0.1263,7.3,649,1.6,0.0047,-2.327,2.76,39.79,"26,957",23.9,"2,601","4,053","1,863",81,"1,254",5.08,537,138,2.39,2.35,0.77,10.49,1.94,2.36,"2,497",363,"3,563","22,560","3,082",,,-0.762,-2.11,1.845
Ayers HR 2002,10/2/2020,10/2/2020 21:46,21:46,0.91,15.33,190.7,0.09,0.1193,7.39,736,1.2,0.0039,-2.406,1.75,35.97,"27,618",23.4,"2,170","4,115","1,867",90,"1,174",2.89,565,139,1.84,1.83,,13.28,2.07,2.08,"2,588",359,"3,520","23,230","2,915",,,-0.665,-1.944,2.437
Ayers HR 2003,10/3/2020,10/3/2020 1:48,1:48,1.07,13.87,,0.02,,7.28,707,1.5,0.0049,-2.309,1.7,37.4,"28,041",24.1,"1,892","4,185","1,711",88,"1,171",3.02,586,138,1.75,1.56,0.64,12.53,1.63,1.92,"2,471",355,"3,404","23,630","3,611",,,-0.797,-2.231,1.843
Ayers HR 2004,10/3/2020,10/3/2020 5:50,5:50,1.24,12.78,202,0.09,0.129,7.21,731,1.4,0.0056,-2.251,2.42,35.6,"28,327",24.2,"1,840","4,225","1,705",82,"1,049",2.87,621,143,2.12,1.4,0.61,12.32,1.6,1.79,"2,466",356,"3,454","23,840","2,850",-11.63,0.02,-0.883,-2.423,1.39
Ayers HR 2005,10/3/2020,10/3/2020 9:50,9:50,1.41,13.58,202.2,0.02,,7.4,699,2.1,0.0037,-2.430,1.83,38.12,"28,230",22.9,"1,733","4,193","1,718",85,"1,163",3.24,641,141,2.14,1.09,0.58,10.67,1.78,1.86,"2,365",352,"3,538","22,980","2,896",-10.98,0.03,-0.677,-1.999,2.412
Ayers HR 2006,10/3/2020,10/3/2020 13:55,13:55,1.58,17.47,203.5,0.09,0.13,7.6,681,2.3,0.0025,-2.595,1.72,38.81,"27,871",22.8,"1,770","4,127","1,894",84,"1,182",4.87,659,140,1.96,1.16,0.92,15.08,1.87,2.11,"2,571",361,"3,592","22,860","3,010",-10.75,0.03,-0.412,-1.407,3.413
Ayers HR 2007,10/3/2020,10/3/2020 18:09,18:09,1.76,16.91,199.6,0.09,0.1275,7.42,770,1.8,0.0037,-2.437,1.71,35.79,"27,257",23.6,"1,679","4,045","1,791",83,"1,232",4.29,689,136,1.93,1.24,0.96,12.26,1.61,1.91,"2,582",336,"3,666","22,480","2,842",,,-0.627,-1.844,2.497
Ayers HR 2008,10/3/2020,10/3/2020 22:00,22:00,1.92,14.42,204.2,0.09,0.13,7.3,724,3.1,0.0047,-2.330,1.67,32.15,"27,698",24.5,"1,744","4,112","1,854",83,"1,252",3.47,724,139,1.85,1.15,0.77,13.13,1.91,1.78,"2,458",341,"3,580","23,240","2,822",,,-0.776,-2.183,1.867
Ayers HR 2009,10/4/2020,10/4/2020 1:51,1:51,2.08,15.16,202,0.09,0.1291,7.26,725,2,0.0052,-2.283,1.68,36.04,"28,001",24.3,"1,608","4,157","1,611",82,"1,159",2.98,747,140,1.9,0.97,0.67,11.83,1.76,1.99,"2,346",352,"3,567","23,620","2,820",,,-0.797,-2.213,1.688
Ayers HR 2010,10/4/2020,10/4/2020 5:52,5:52,2.24,14.55,202.9,0.09,0.13,7.32,759,2.3,0.0046,-2.337,1.61,34.52,"28,216",22.7,"1,635","4,195","1,741",86,"1,099",2.68,772,139,1.88,0.92,0.56,12.84,1.94,1.85,"2,384",355,"3,437","23,810","2,469",-11.65,0.02,-0.733,-2.094,2.056
Ayers HR 2011,10/4/2020,10/4/2020 9:58,9:58,2.42,15.76,201.3,0.09,0.1289,7.4,700,1.6,0.0039,-2.414,1.75,41.62,"27,863",24.8,"1,567","4,146","1,601",85,"1,148",5.25,799,140,2.16,1.11,0.94,14.36,2.03,2.27,"2,441",352,"3,425","23,120","2,824",,,-0.645,-1.898,2.443
Ayers HR 2012,10/4/2020,10/4/2020 13:58,13:58,2.58,18.65,202.6,0.09,0.1298,7.66,674,2.3,0.0023,-2.646,1.72,40.22,"27,542",24.6,"1,586","4,084","1,567",85,"1,208",4.71,806,140,2.03,1.08,0.91,11.76,1.85,1.99,"2,375",347,"3,386","22,790","2,726",-10.62,0.04,-0.337,-1.238,3.712
